Timestamp,Phycocyanin Abs.,Flags Phycocyanin Abs.,Phycocyanin Abs. (comp),Flags Phycocyanin Abs. (comp),TOC,Flags TOC,Trübung,Flags Trübung,Chl-a,Flags Chl-a,DOC,Flags DOC,Nitrat,Flags Nitrat,Gelöster Sauerstoff,Flags Gelöster Sauerstoff,Leitfähigkeit,Flags Leitfähigkeit,pH,Flags pH,Redoxpotential,Flags Redoxpotential,Wassertemp. (1m),Flags Wassertemp. (1m),Wassertemp. (0.5m),Flags Wassertemp. (0.5m),Lufttemperatur,Flags Lufttemperatur,Supply Voltage,Flags Supply Voltage,Supply Current,Flags Supply Current
2025-06-11T00:00:00+0200,11.129,,0.035,,25.386,,41.893,,37.923,,12.208,,9.554,,7.320,,719,,8.442,,246.438,,17.140,,16.893,,12.802,,11.857,,266.000,
2025-06-11T01:00:00+0200,11.167,,0.030,,25.345,,42.049,,41.295,,12.215,,6.479,,7.010,,710,,8.399,,252.305,,17.060,,16.815,,12.222,,11.888,,263.000,
2025-06-11T02:00:00+0200,10.821,,0.035,,25.154,,40.738,,40.577,,12.359,,3.904,,6.580,,745,,8.354,,256.711,,16.980,,16.760,,11.931,,11.052,,259.000,
2025-06-11T03:00:00+0200,11.173,,0.043,,25.259,,42.065,,40.732,,12.278,,7.111,,6.860,,720,,8.294,,261.016,,16.850,,16.651,,11.931,,10.887,,279.000,
2025-06-11T04:00:00+0200,10.673,,0.039,,25.040,,40.208,,42.196,,12.319,,6.181,,6.600,,745,,8.217,,267.612,,16.760,,16.545,,10.770,,11.929,,264.000,
2025-06-11T05:00:00+0200,10.472,,0.036,,24.960,,39.450,,43.118,,12.326,,6.821,,6.570,,754,,8.166,,275.266,,16.620,,16.397,,10.480,,11.826,,263.000,
2025-06-11T06:00:00+0200,10.444,,0.050,,24.900,,39.305,,42.562,,12.368,,6.168,,6.300,,759,,8.107,,282.719,,16.500,,16.287,,10.480,,11.352,,267.000,
2025-06-11T07:00:00+0200,10.452,,0.046,,24.916,,39.348,,39.004,,12.332,,7.330,,6.250,,730,,8.100,,285.740,,16.350,,16.161,,11.061,,11.878,,257.000,
2025-06-11T08:00:00+0200,10.625,,0.042,,24.986,,40.032,,43.200,,12.310,,4.457,,6.200,,717,,8.088,,287.754,,16.290,,16.074,,12.222,,11.888,,265.000,
2025-06-11T09:00:00+0200,11.299,,0.047,,25.352,,42.565,,44.322,,12.342,,7.259,,6.500,,736,,8.110,,282.316,,16.300,,16.085,,13.092,,11.888,,265.000,
2025-06-11T10:00:00+0200,10.798,,0.051,,25.081,,40.659,,40.768,,12.431,,5.193,,6.410,,763,,8.102,,285.564,,16.330,,16.108,,13.963,,11.971,,273.000,
2025-06-11T11:00:00+0200,10.782,,0.054,,25.148,,40.586,,43.317,,12.374,,5.816,,6.590,,736,,8.135,,293.091,,16.520,,16.344,,15.704,,11.878,,258.000,
2025-06-11T12:00:00+0200,10.499,,0.037,,24.919,,39.516,,41.192,,12.410,,6.130,,7.190,,753,,8.206,,294.099,,16.770,,16.572,,15.995,,11.878,,267.000,
2025-06-11T13:00:00+0200,10.637,,0.034,,25.043,,40.080,,41.817,,12.318,,4.874,,7.580,,675,,8.273,,292.689,,17.000,,16.817,,17.446,,11.878,,279.000,
2025-06-11T14:00:00+0200,10.906,,0.035,,25.162,,41.057,,38.740,,12.271,,5.685,,7.780,,716,,8.366,,289.768,,17.360,,17.187,,18.026,,11.754,,274.000,
2025-06-11T15:00:00+0200,10.859,,0.035,,25.175,,40.873,,41.905,,12.319,,4.541,,8.230,,681,,8.389,,293.796,,17.660,,17.491,,18.317,,11.878,,276.000,
2025-06-11T16:00:00+0200,10.871,,0.031,,25.109,,40.918,,42.860,,12.322,,6.269,,8.430,,687,,8.454,,291.581,,17.990,,17.868,,19.187,,11.929,,266.000,
2025-06-11T17:00:00+0200,11.342,,0.035,,25.421,,42.683,,44.073,,12.280,,8.505,,8.630,,683,,8.490,,289.869,,18.260,,18.120,,18.317,,11.713,,283.000,
2025-06-11T18:00:00+0200,11.279,,0.028,,25.418,,42.448,,39.230,,12.235,,5.767,,8.880,,701,,8.576,,288.358,,18.510,,18.325,,18.897,,10.866,,260.000,
2025-06-11T19:00:00+0200,10.863,,0.027,,25.178,,40.866,,44.182,,12.272,,6.382,,8.850,,704,,8.594,,286.432,,18.610,,18.415,,18.317,,11.217,,270.000,
2025-06-11T20:00:00+0200,10.851,,0.028,,25.166,,40.824,,42.351,,12.219,,6.666,,9.050,,751,,8.612,,285.236,,18.610,,18.388,,16.865,,11.878,,267.000,
2025-06-11T21:00:00+0200,10.871,,0.031,,25.200,,40.902,,41.070,,12.280,,3.422,,8.760,,691,,8.608,,288.346,,18.430,,18.211,,14.544,,10.846,,264.000,
2025-06-11T22:00:00+0200,11.162,,0.017,,25.229,,42.021,,42.618,,12.329,,7.863,,8.050,,701,,8.561,,292.487,,18.360,,18.116,,11.931,,11.878,,261.000,
2025-06-11T23:00:00+0200,10.583,,0.018,,25.006,,39.842,,38.618,,12.345,,5.539,,6.890,,702,,8.524,,294.099,,18.300,,18.044,,11.061,,11.991,,273.000,
